method_family,method_name,n_assets,seed,initial_wealth,target_wealth,train_time_sec,solve_time_sec,required_return_pct,target_hit_rate,mean_terminal_wealth,median_terminal_wealth,terminal_wealth_p05,expected_shortfall,mean_gross_leverage,max_gross_leverage,mean_concentration,mean_turnover,max_single_weight,wealth_volatility,max_drawdown,eval_time_sec,n_forward_windows,fold,evaluation_set
baseline,baseline_cash,5,1,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004040151834487,1,fold_2014_2017,validation
baseline,baseline_cash,5,2,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004183128476142,1,fold_2014_2017,validation
baseline,baseline_cash,5,3,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003752522170543,1,fold_2014_2017,validation
baseline,baseline_cash,5,4,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010149702429771,1,fold_2014_2017,validation
baseline,baseline_cash,5,5,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000447578728199,1,fold_2014_2017,validation
baseline,baseline_cash,5,1,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003883056342601,1,fold_2014_2017,validation
baseline,baseline_cash,5,2,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00094461068511,1,fold_2014_2017,validation
baseline,baseline_cash,5,3,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007571764290332,1,fold_2014_2017,validation
baseline,baseline_cash,5,4,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003924183547496,1,fold_2014_2017,validation
baseline,baseline_cash,5,5,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005118697881698,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,1,0.8,1.0,-1.0,0.0,25.0,0.0,0.9036440197926904,0.9036440197926904,0.9036440197926904,0.0963559802073095,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.0004619322717189,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,2,0.8,1.0,-1.0,0.0,25.0,0.0,0.9036440197926904,0.9036440197926904,0.9036440197926904,0.0963559802073095,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.000679075717926,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,3,0.8,1.0,-1.0,0.0,25.0,0.0,0.9036440197926904,0.9036440197926904,0.9036440197926904,0.0963559802073095,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.0009631775319576,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,4,0.8,1.0,-1.0,0.0,25.0,0.0,0.9036440197926904,0.9036440197926904,0.9036440197926904,0.0963559802073095,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.0003611519932746,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,5,0.8,1.0,-1.0,0.0,25.0,0.0,0.9036440197926904,0.9036440197926904,0.9036440197926904,0.0963559802073095,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.000520072877407,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,1,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0165995222667767,1.0165995222667767,1.0165995222667767,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.0003707036375999,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,2,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0165995222667767,1.0165995222667767,1.0165995222667767,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.0003775358200073,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,3,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0165995222667767,1.0165995222667767,1.0165995222667767,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.0008272789418697,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,4,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0165995222667767,1.0165995222667767,1.0165995222667767,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.000857338309288,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,5,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0165995222667767,1.0165995222667767,1.0165995222667767,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085667,0.0003416500985622,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,1,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.07307727350382,1.07307727350382,1.07307727350382,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085666,0.0003297254443168,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,2,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.07307727350382,1.07307727350382,1.07307727350382,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085666,0.000643104314804,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,3,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.07307727350382,1.07307727350382,1.07307727350382,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085666,0.0004960894584655,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,4,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.07307727350382,1.07307727350382,1.07307727350382,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085666,0.0003554783761501,1,fold_2014_2017,validation
baseline,baseline_equal_weight,10,5,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.07307727350382,1.07307727350382,1.07307727350382,0.0,1.0,1.0,0.1,0.0,0.1,0.0302149379529059,0.0833224469085666,0.0003444887697696,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,1,0.8,1.0,-1.0,0.0,25.0,0.0,0.9189184202028458,0.9189184202028458,0.9189184202028458,0.0810815797971542,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0003573969006538,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,2,0.8,1.0,-1.0,0.0,25.0,0.0,0.9189184202028458,0.9189184202028458,0.9189184202028458,0.0810815797971542,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0003666318953037,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,3,0.8,1.0,-1.0,0.0,25.0,0.0,0.9189184202028458,0.9189184202028458,0.9189184202028458,0.0810815797971542,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0006148517131805,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,4,0.8,1.0,-1.0,0.0,25.0,0.0,0.9189184202028458,0.9189184202028458,0.9189184202028458,0.0810815797971542,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0003476291894912,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,5,0.8,1.0,-1.0,0.0,25.0,0.0,0.9189184202028458,0.9189184202028458,0.9189184202028458,0.0810815797971542,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0007294602692127,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,1,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0337832227282011,1.0337832227282011,1.0337832227282011,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0006985031068325,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,2,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0337832227282011,1.0337832227282011,1.0337832227282011,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0003709495067596,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,3,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0337832227282011,1.0337832227282011,1.0337832227282011,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0003736615180969,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,4,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0337832227282011,1.0337832227282011,1.0337832227282011,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.000335332006216,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,5,0.9,1.0,-1.0,0.0,11.111111111111116,1.0,1.0337832227282011,1.0337832227282011,1.0337832227282011,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621027,0.0003416836261749,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,1,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.0912156239908788,1.0912156239908788,1.0912156239908788,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621028,0.0008062161505222,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,2,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.0912156239908788,1.0912156239908788,1.0912156239908788,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621028,0.0003354027867317,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,3,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.0912156239908788,1.0912156239908788,1.0912156239908788,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621028,0.0003377050161361,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,4,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.0912156239908788,1.0912156239908788,1.0912156239908788,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621028,0.0008471496403217,1,fold_2014_2017,validation
baseline,baseline_equal_weight,1,5,0.95,1.0,-1.0,0.0,5.263157894736836,1.0,1.0912156239908788,1.0912156239908788,1.0912156239908788,0.0,1.0,1.0,1.0,0.0,1.0,0.0316683870069359,0.0849826359621028,0.0006213784217834,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,1,0.8,1.0,-1.0,0.0,25.0,0.0,0.846896865439903,0.846896865439903,0.846896865439903,0.153103134560097,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384575,0.0003516823053359,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,2,0.8,1.0,-1.0,0.0,25.0,0.0,0.846896865439903,0.846896865439903,0.846896865439903,0.153103134560097,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384575,0.0003616251051425,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,3,0.8,1.0,-1.0,0.0,25.0,0.0,0.846896865439903,0.846896865439903,0.846896865439903,0.153103134560097,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384575,0.0006273202598094,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,4,0.8,1.0,-1.0,0.0,25.0,0.0,0.846896865439903,0.846896865439903,0.846896865439903,0.153103134560097,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384575,0.0005360394716262,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,5,0.8,1.0,-1.0,0.0,25.0,0.0,0.846896865439903,0.846896865439903,0.846896865439903,0.153103134560097,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384575,0.0004510693252086,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,1,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.9527589736198908,0.9527589736198908,0.9527589736198908,0.0472410263801091,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384576,0.0003105849027633,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,2,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.9527589736198908,0.9527589736198908,0.9527589736198908,0.0472410263801091,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384576,0.0003430098295211,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,3,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.9527589736198908,0.9527589736198908,0.9527589736198908,0.0472410263801091,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384576,0.0003445446491241,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,4,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.9527589736198908,0.9527589736198908,0.9527589736198908,0.0472410263801091,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384576,0.0006389282643795,1,fold_2014_2017,validation
baseline,baseline_equal_weight,20,5,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.9527589736198908,0.9527589736198908,0.9527589736198908,0.0472410263801091,1.0,1.0,0.0499999999999999,0.0,0.0499999999999999,0.0278903450480846,0.1001191728384576,0.000838354229927,1,fold_2014_2017,validation
