evaluation_set,method_family,method_name,n_assets,initial_wealth,metric,n,mean,std,sem,ci95_half_width
validation,nn,nn_mlp_deep,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,5,0.8,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,5,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,10,0.8,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,10,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,20,0.8,target_hit_rate,15,0.6,0.50709255283711,0.13093073414159542,0.256624238917527
validation,nn,nn_mlp_deep,20,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
validation,nn,nn_mlp_shared,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,5,0.8,target_hit_rate,15,0.6,0.50709255283711,0.13093073414159542,0.256624238917527
validation,nn,nn_mlp_shared,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,5,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,10,0.8,target_hit_rate,15,0.6,0.50709255283711,0.13093073414159542,0.256624238917527
validation,nn,nn_mlp_shared,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,10,0.95,target_hit_rate,15,0.7333333333333333,0.4577377082170634,0.11818736805705575,0.23164724139182927
validation,nn,nn_mlp_shared,20,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,20,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_shared,20,0.95,target_hit_rate,15,0.9333333333333333,0.2581988897471611,0.06666666666666665,0.13066666666666663
validation,nn,nn_pinn,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,5,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,5,0.95,target_hit_rate,15,0.8,0.4140393356054125,0.10690449676496974,0.20953281365934068
validation,nn,nn_pinn,10,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,10,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,20,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_pinn,20,0.9,target_hit_rate,15,0.4,0.5070925528371099,0.1309307341415954,0.25662423891752695
validation,nn,nn_pinn,20,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,5,0.8,target_hit_rate,15,0.6,0.50709255283711,0.13093073414159542,0.256624238917527
validation,nn,nn_recurrent,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,5,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,10,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,10,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,20,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_recurrent,20,0.9,target_hit_rate,15,0.4666666666666667,0.5163977794943222,0.1333333333333333,0.26133333333333325
validation,nn,nn_recurrent,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
validation,nn,nn_transformer,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,5,0.8,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,5,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,10,0.8,target_hit_rate,15,0.6,0.50709255283711,0.13093073414159542,0.256624238917527
validation,nn,nn_transformer,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,10,0.95,target_hit_rate,15,0.7333333333333333,0.4577377082170634,0.11818736805705575,0.23164724139182927
validation,nn,nn_transformer,20,0.8,target_hit_rate,15,0.4,0.5070925528371099,0.1309307341415954,0.25662423891752695
validation,nn,nn_transformer,20,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_transformer,20,0.95,target_hit_rate,15,0.9333333333333333,0.2581988897471611,0.06666666666666665,0.13066666666666663
test,baseline,baseline_cash,1,0.8,expected_shortfall,15,0.1838389279785975,0.0,0.0,0.0
test,baseline,baseline_cash,1,0.9,expected_shortfall,15,0.0818187939759219,0.0,0.0,0.0
test,baseline,baseline_cash,1,0.95,expected_shortfall,15,0.0308087269745847,0.0,0.0,0.0
test,baseline,baseline_cash,5,0.8,expected_shortfall,15,0.1838389279785975,0.0,0.0,0.0
test,baseline,baseline_cash,5,0.9,expected_shortfall,15,0.0818187939759219,0.0,0.0,0.0
test,baseline,baseline_cash,5,0.95,expected_shortfall,15,0.0308087269745847,0.0,0.0,0.0
test,baseline,baseline_cash,10,0.8,expected_shortfall,15,0.1838389279785975,0.0,0.0,0.0
test,baseline,baseline_cash,10,0.9,expected_shortfall,15,0.0818187939759219,0.0,0.0,0.0
test,baseline,baseline_cash,10,0.95,expected_shortfall,15,0.0308087269745847,0.0,0.0,0.0
test,baseline,baseline_cash,20,0.8,expected_shortfall,15,0.1838389279785975,0.0,0.0,0.0
test,baseline,baseline_cash,20,0.9,expected_shortfall,15,0.0818187939759219,0.0,0.0,0.0
test,baseline,baseline_cash,20,0.95,expected_shortfall,15,0.0308087269745847,0.0,0.0,0.0
test,baseline,baseline_equal_weight,1,0.8,expected_shortfall,15,0.0,0.0,0.0,0.0
